# ended because of an error
46000 frames played: 9 wins, 11 losses, 13 draws, 4682 terminations, 176 legal NN moves.
47000 frames played: 9 wins, 11 losses, 16 draws, 4687 terminations, 178 legal NN moves.
48000 frames played: 9 wins, 11 losses, 17 draws, 4697 terminations, 179 legal NN moves.
49000 frames played: 9 wins, 11 losses, 19 draws, 4703 terminations, 184 legal NN moves.
50000 frames played: 10 wins, 11 losses, 22 draws, 4707 terminations, 187 legal NN moves.
51000 frames played: 12 wins, 11 losses, 26 draws, 4711 terminations, 191 legal NN moves.
52000 frames played: 12 wins, 11 losses, 28 draws, 4715 terminations, 191 legal NN moves.
53000 frames played: 12 wins, 11 losses, 31 draws, 4720 terminations, 194 legal NN moves.
54000 frames played: 13 wins, 11 losses, 34 draws, 4723 terminations, 197 legal NN moves.
55000 frames played: 14 wins, 12 losses, 37 draws, 4724 terminations, 198 legal NN moves.
56000 frames played: 15 wins, 12 losses, 41 draws, 4725 terminations, 200 legal NN moves.
57000 frames played: 15 wins, 12 losses, 44 draws, 4728 terminations, 203 legal NN moves.
58000 frames played: 16 wins, 12 losses, 49 draws, 4728 terminations, 204 legal NN moves.
59000 frames played: 16 wins, 13 losses, 53 draws, 4731 terminations, 206 legal NN moves.
60000 frames played: 17 wins, 13 losses, 56 draws, 4735 terminations, 208 legal NN moves.

## Struggling to learn legal moves
1000 frames played: 0 wins, 0 losses, 0 draws, 596 terminations, 54 legal NN moves.
2000 frames played: 0 wins, 0 losses, 0 draws, 1238 terminations, 62 legal NN moves.
3000 frames played: 0 wins, 0 losses, 0 draws, 1924 terminations, 75 legal NN moves.
4000 frames played: 0 wins, 0 losses, 0 draws, 2636 terminations, 95 legal NN moves.
5000 frames played: 0 wins, 0 losses, 0 draws, 3373 terminations, 120 legal NN moves.
6000 frames played: 0 wins, 0 losses, 0 draws, 4139 terminations, 134 legal NN moves.
7000 frames played: 0 wins, 0 losses, 0 draws, 4925 terminations, 164 legal NN moves.
8000 frames played: 0 wins, 0 losses, 0 draws, 5751 terminations, 194 legal NN moves.
9000 frames played: 0 wins, 0 losses, 0 draws, 6580 terminations, 209 legal NN moves.
10000 frames played: 0 wins, 0 losses, 0 draws, 7414 terminations, 233 legal NN moves.
11000 frames played: 0 wins, 0 losses, 0 draws, 8241 terminations, 267 legal NN moves.
12000 frames played: 0 wins, 0 losses, 0 draws, 9049 terminations, 340 legal NN moves.
13000 frames played: 0 wins, 0 losses, 0 draws, 9905 terminations, 368 legal NN moves.
14000 frames played: 0 wins, 0 losses, 0 draws, 10790 terminations, 394 legal NN moves.
15000 frames played: 0 wins, 0 losses, 0 draws, 11581 terminations, 498 legal NN moves.
16000 frames played: 0 wins, 0 losses, 0 draws, 12457 terminations, 533 legal NN moves.
17000 frames played: 0 wins, 0 losses, 0 draws, 13346 terminations, 554 legal NN moves.
18000 frames played: 0 wins, 0 losses, 0 draws, 14243 terminations, 584 legal NN moves.
19000 frames played: 0 wins, 0 losses, 0 draws, 15149 terminations, 616 legal NN moves.
20000 frames played: 0 wins, 0 losses, 0 draws, 16086 terminations, 634 legal NN moves.
21000 frames played: 0 wins, 0 losses, 0 draws, 17004 terminations, 675 legal NN moves.
22000 frames played: 0 wins, 0 losses, 0 draws, 17838 terminations, 804 legal NN moves.
23000 frames played: 0 wins, 0 losses, 0 draws, 18670 terminations, 934 legal NN moves.
24000 frames played: 0 wins, 0 losses, 0 draws, 19636 terminations, 940 legal NN moves.
25000 frames played: 0 wins, 0 losses, 0 draws, 20607 terminations, 941 legal NN moves.
26000 frames played: 0 wins, 0 losses, 0 draws, 21584 terminations, 941 legal NN moves.
27000 frames played: 0 wins, 0 losses, 0 draws, 22542 terminations, 959 legal NN moves.
28000 frames played: 0 wins, 0 losses, 0 draws, 23483 terminations, 991 legal NN moves.
29000 frames played: 0 wins, 0 losses, 0 draws, 24420 terminations, 1031 legal NN moves.
30000 frames played: 0 wins, 0 losses, 0 draws, 25333 terminations, 1105 legal NN moves.
31000 frames played: 0 wins, 0 losses, 0 draws, 26258 terminations, 1166 legal NN moves.
32000 frames played: 0 wins, 0 losses, 0 draws, 27195 terminations, 1211 legal NN moves.
33000 frames played: 0 wins, 0 losses, 0 draws, 28123 terminations, 1266 legal NN moves.
34000 frames played: 0 wins, 0 losses, 0 draws, 29015 terminations, 1366 legal NN moves.
35000 frames played: 0 wins, 0 losses, 0 draws, 29940 terminations, 1429 legal NN moves.
36000 frames played: 0 wins, 0 losses, 0 draws, 30895 terminations, 1457 legal NN moves.
37000 frames played: 0 wins, 0 losses, 0 draws, 31858 terminations, 1485 legal NN moves.
38000 frames played: 0 wins, 0 losses, 0 draws, 32808 terminations, 1524 legal NN moves.
39000 frames played: 0 wins, 0 losses, 0 draws, 33768 terminations, 1557 legal NN moves.
40000 frames played: 0 wins, 0 losses, 0 draws, 34710 terminations, 1608 legal NN moves.
41000 frames played: 0 wins, 0 losses, 0 draws, 35679 terminations, 1630 legal NN moves.
42000 frames played: 0 wins, 0 losses, 0 draws, 36630 terminations, 1673 legal NN moves.
43000 frames played: 0 wins, 0 losses, 0 draws, 37550 terminations, 1746 legal NN moves.
44000 frames played: 0 wins, 0 losses, 0 draws, 38452 terminations, 1839 legal NN moves.
45000 frames played: 0 wins, 0 losses, 0 draws, 39374 terminations, 1912 legal NN moves.
46000 frames played: 0 wins, 0 losses, 0 draws, 40290 terminations, 1994 legal NN moves.
47000 frames played: 0 wins, 0 losses, 0 draws, 41241 terminations, 2040 legal NN moves.
48000 frames played: 0 wins, 0 losses, 0 draws, 42199 terminations, 2078 legal NN moves.
49000 frames played: 0 wins, 0 losses, 0 draws, 43134 terminations, 2140 legal NN moves.
50000 frames played: 0 wins, 0 losses, 0 draws, 44096 terminations, 2173 legal NN moves.
