72000 frames played: 1 wins, 0 losses, 0 draws, 65986 terminations, 2263 legal NN moves.
73000 frames played: 1 wins, 0 losses, 0 draws, 66963 terminations, 2286 legal NN moves.
74000 frames played: 1 wins, 0 losses, 0 draws, 67912 terminations, 2336 legal NN moves.
75000 frames played: 1 wins, 0 losses, 0 draws, 68880 terminations, 2368 legal NN moves.
76000 frames played: 1 wins, 0 losses, 0 draws, 69880 terminations, 2368 legal NN moves.
77000 frames played: 1 wins, 0 losses, 0 draws, 70858 terminations, 2390 legal NN moves.
78000 frames played: 1 wins, 0 losses, 0 draws, 71809 terminations, 2439 legal NN moves.
79000 frames played: 1 wins, 0 losses, 0 draws, 72739 terminations, 2509 legal NN moves.
80000 frames played: 1 wins, 0 losses, 0 draws, 73732 terminations, 2516 legal NN moves.
81000 frames played: 1 wins, 0 losses, 0 draws, 74702 terminations, 2546 legal NN moves.
82000 frames played: 1 wins, 0 losses, 0 draws, 75697 terminations, 2551 legal NN moves.
83000 frames played: 1 wins, 0 losses, 0 draws, 76684 terminations, 2564 legal NN moves.
84000 frames played: 1 wins, 0 losses, 0 draws, 77681 terminations, 2567 legal NN moves.
85000 frames played: 1 wins, 0 losses, 0 draws, 78645 terminations, 2603 legal NN moves.
86000 frames played: 1 wins, 0 losses, 0 draws, 79608 terminations, 2640 legal NN moves.
87000 frames played: 1 wins, 0 losses, 0 draws, 80570 terminations, 2678 legal NN moves.
88000 frames played: 1 wins, 0 losses, 0 draws, 81561 terminations, 2687 legal NN moves.
89000 frames played: 1 wins, 0 losses, 0 draws, 82557 terminations, 2691 legal NN moves.
90000 frames played: 1 wins, 0 losses, 0 draws, 83514 terminations, 2734 legal NN moves.
91000 frames played: 1 wins, 0 losses, 0 draws, 84483 terminations, 2765 legal NN moves.
92000 frames played: 1 wins, 0 losses, 0 draws, 85483 terminations, 2765 legal NN moves.
93000 frames played: 1 wins, 0 losses, 0 draws, 86449 terminations, 2799 legal NN moves.
94000 frames played: 1 wins, 0 losses, 0 draws, 87437 terminations, 2811 legal NN moves.
95000 frames played: 1 wins, 0 losses, 0 draws, 88417 terminations, 2830 legal NN moves.
96000 frames played: 1 wins, 0 losses, 0 draws, 89410 terminations, 2837 legal NN moves.
97000 frames played: 1 wins, 0 losses, 0 draws, 90354 terminations, 2893 legal NN moves.
98000 frames played: 1 wins, 0 losses, 0 draws, 91266 terminations, 2981 legal NN moves.
99000 frames played: 1 wins, 0 losses, 0 draws, 92255 terminations, 2992 legal NN moves.
100000 frames played: 1 wins, 0 losses, 0 draws, 93235 terminations, 3012 legal NN moves.
101000 frames played: 1 wins, 0 losses, 0 draws, 94197 terminations, 3050 legal NN moves.
102000 frames played: 1 wins, 0 losses, 0 draws, 95169 terminations, 3078 legal NN moves.
103000 frames played: 1 wins, 0 losses, 0 draws, 96115 terminations, 3131 legal NN moves.
104000 frames played: 1 wins, 0 losses, 0 draws, 97067 terminations, 3179 legal NN moves.
105000 frames played: 1 wins, 0 losses, 0 draws, 97984 terminations, 3262 legal NN moves.
106000 frames played: 1 wins, 0 losses, 0 draws, 98954 terminations, 3292 legal NN moves.
107000 frames played: 1 wins, 0 losses, 0 draws, 99925 terminations, 3320 legal NN moves.
108000 frames played: 1 wins, 0 losses, 0 draws, 100904 terminations, 3341 legal NN moves.
109000 frames played: 1 wins, 0 losses, 0 draws, 101885 terminations, 3360 legal NN moves.
110000 frames played: 1 wins, 0 losses, 0 draws, 102843 terminations, 3402 legal NN moves.
111000 frames played: 1 wins, 0 losses, 0 draws, 103820 terminations, 3425 legal NN moves.
112000 frames played: 1 wins, 0 losses, 0 draws, 104811 terminations, 3433 legal NN moves.
113000 frames played: 1 wins, 0 losses, 0 draws, 105782 terminations, 3462 legal NN moves.
114000 frames played: 1 wins, 0 losses, 0 draws, 106732 terminations, 3512 legal NN moves.
115000 frames played: 1 wins, 0 losses, 0 draws, 107699 terminations, 3544 legal NN moves.
116000 frames played: 1 wins, 0 losses, 0 draws, 108654 terminations, 3589 legal NN moves.
117000 frames played: 1 wins, 0 losses, 0 draws, 109643 terminations, 3599 legal NN moves.
118000 frames played: 1 wins, 0 losses, 0 draws, 110643 terminations, 3599 legal NN moves.
119000 frames played: 1 wins, 0 losses, 0 draws, 111625 terminations, 3617 legal NN moves.
120000 frames played: 1 wins, 0 losses, 0 draws, 112578 terminations, 3664 legal NN moves.
121000 frames played: 1 wins, 0 losses, 0 draws, 113513 terminations, 3729 legal NN moves.
122000 frames played: 1 wins, 0 losses, 0 draws, 114483 terminations, 3759 legal NN moves.
123000 frames played: 1 wins, 0 losses, 0 draws, 115454 terminations, 3788 legal NN moves.
124000 frames played: 1 wins, 0 losses, 0 draws, 116436 terminations, 3806 legal NN moves.
125000 frames played: 1 wins, 0 losses, 0 draws, 117414 terminations, 3828 legal NN moves.
126000 frames played: 1 wins, 0 losses, 0 draws, 118396 terminations, 3846 legal NN moves.
127000 frames played: 1 wins, 0 losses, 0 draws, 119369 terminations, 3873 legal NN moves.
128000 frames played: 1 wins, 0 losses, 0 draws, 120324 terminations, 3918 legal NN moves.
129000 frames played: 1 wins, 0 losses, 0 draws, 121293 terminations, 3949 legal NN moves.
130000 frames played: 1 wins, 0 losses, 0 draws, 122231 terminations, 4011 legal NN moves.
131000 frames played: 1 wins, 0 losses, 0 draws, 123175 terminations, 4067 legal NN moves.
132000 frames played: 1 wins, 0 losses, 0 draws, 124132 terminations, 4110 legal NN moves.
133000 frames played: 1 wins, 0 losses, 0 draws, 125092 terminations, 4150 legal NN moves.
134000 frames played: 1 wins, 0 losses, 0 draws, 126079 terminations, 4163 legal NN moves.
135000 frames played: 1 wins, 0 losses, 0 draws, 127072 terminations, 4170 legal NN moves.
136000 frames played: 1 wins, 0 losses, 0 draws, 128007 terminations, 4235 legal NN moves.
137000 frames played: 1 wins, 0 losses, 0 draws, 128980 terminations, 4262 legal NN moves.
138000 frames played: 1 wins, 0 losses, 0 draws, 129946 terminations, 4296 legal NN moves.
139000 frames played: 1 wins, 0 losses, 0 draws, 130927 terminations, 4315 legal NN moves.
140000 frames played: 1 wins, 0 losses, 0 draws, 131907 terminations, 4335 legal NN moves.
141000 frames played: 1 wins, 0 losses, 0 draws, 132875 terminations, 4367 legal NN moves.
142000 frames played: 1 wins, 0 losses, 0 draws, 133859 terminations, 4383 legal NN moves.
143000 frames played: 1 wins, 0 losses, 0 draws, 134812 terminations, 4430 legal NN moves.
144000 frames played: 1 wins, 0 losses, 0 draws, 135768 terminations, 4474 legal NN moves.
145000 frames played: 1 wins, 0 losses, 0 draws, 136751 terminations, 4491 legal NN moves.
146000 frames played: 1 wins, 0 losses, 0 draws, 137741 terminations, 4501 legal NN moves.
147000 frames played: 1 wins, 0 losses, 0 draws, 138697 terminations, 4545 legal NN moves.
148000 frames played: 1 wins, 0 losses, 0 draws, 139646 terminations, 4596 legal NN moves.
149000 frames played: 1 wins, 0 losses, 0 draws, 140613 terminations, 4629 legal NN moves.
150000 frames played: 1 wins, 0 losses, 0 draws, 141552 terminations, 4689 legal NN moves.
151000 frames played: 1 wins, 0 losses, 0 draws, 142518 terminations, 4723 legal NN moves.
152000 frames played: 1 wins, 0 losses, 0 draws, 143499 terminations, 4741 legal NN moves.
153000 frames played: 1 wins, 0 losses, 0 draws, 144448 terminations, 4792 legal NN moves.
154000 frames played: 1 wins, 0 losses, 0 draws, 145436 terminations, 4804 legal NN moves.
155000 frames played: 1 wins, 0 losses, 0 draws, 146397 terminations, 4843 legal NN moves.
156000 frames played: 1 wins, 0 losses, 0 draws, 147377 terminations, 4863 legal NN moves.
157000 frames played: 1 wins, 0 losses, 0 draws, 148327 terminations, 4913 legal NN moves.
158000 frames played: 1 wins, 0 losses, 0 draws, 149276 terminations, 4964 legal NN moves.
159000 frames played: 1 wins, 0 losses, 0 draws, 150260 terminations, 4980 legal NN moves.
160000 frames played: 1 wins, 0 losses, 0 draws, 151229 terminations, 5011 legal NN moves.
161000 frames played: 1 wins, 0 losses, 0 draws, 152181 terminations, 5059 legal NN moves.
162000 frames played: 1 wins, 0 losses, 0 draws, 153125 terminations, 5115 legal NN moves.
163000 frames played: 1 wins, 0 losses, 0 draws, 154090 terminations, 5150 legal NN moves.
164000 frames played: 1 wins, 0 losses, 0 draws, 155049 terminations, 5190 legal NN moves.
165000 frames played: 1 wins, 0 losses, 0 draws, 155991 terminations, 5248 legal NN moves.
166000 frames played: 1 wins, 0 losses, 0 draws, 156949 terminations, 5290 legal NN moves.
